episode,total_reward,avg_energy,avg_latency,success_rate,offload_rate,loss
0,0.8962689945595372,0.07306996556301322,0.023437013243847376,1.0,0.475,48.83001232147217
1,0.8842881496200906,0.08518675480064851,0.02317771984439754,1.0,0.43999999999999995,44.990790367126465
2,0.8859363481670398,0.08498163876939513,0.02185848410952778,1.0,0.45499999999999996,45.47403049468994
3,0.8875717303546766,0.07121048545073352,0.023122808517130337,1.0,0.375,46.671998023986816
4,0.8804004030458117,0.08715048039118198,0.02693162296028505,1.0,0.41500000000000004,42.66838073730469
5,0.8947623722523955,0.06950221685403479,0.024593128508604307,1.0,0.43500000000000005,41.358314514160156
6,0.8909029117561976,0.07291915854683403,0.01533636029100444,1.0,0.42000000000000004,43.02207851409912
7,0.8846745229702639,0.08033075705909201,0.026842025249019,1.0,0.41,40.52146625518799
8,0.8818592840159141,0.08154418006168099,0.017082840259723262,1.0,0.39,39.99111843109131
9,0.8763700402030162,0.08218614952464762,0.028472894208676797,1.0,0.33999999999999997,34.94386291503906
10,0.8591624912368205,0.10680441849216235,0.021261662475968453,1.0,0.33999999999999997,29.266115188598633
11,0.8953243325937882,0.060847519360776946,0.023543958190813653,1.0,0.37999999999999995,34.05396127700806
12,0.8665325564083064,0.094836597851881,0.02337859867913349,1.0,0.33,32.88338232040405
13,0.881267257699087,0.06879588749824747,0.021606014897026772,1.0,0.295,31.373069763183594
14,0.8812241625055879,0.07383391827015892,0.026312772943105328,1.0,0.32999999999999996,33.929627418518066
15,0.8831634945046922,0.0739138669410754,0.02765675330144864,1.0,0.35000000000000003,31.650893688201904
16,0.8790936175566862,0.07691603271570638,0.018617012091234043,1.0,0.33,17.75435972213745
17,0.8753357454539696,0.07796700094980273,0.024958251762439286,1.0,0.3000000000000001,8.775767803192139
18,0.8799075982264666,0.0749975167947868,0.026897147766414997,1.0,0.325,21.810668468475342
19,0.8922112760008687,0.05745882499437749,0.01929900087626793,1.0,0.325,8.751877069473267
20,0.8816678650345328,0.07035098134677815,0.024699435063596415,1.0,0.30999999999999994,13.995861232280731
21,0.8605075421938014,0.09703147867604486,0.02012078084778678,1.0,0.285,5.888179004192352
22,0.8755816120166534,0.0804837393170028,0.02279156041274925,1.0,0.32,5.820292890071869
23,0.8726520090234651,0.08897052088179949,0.01960753122150139,1.0,0.35,4.760076642036438
24,0.868596311931418,0.08617379833666913,0.023436923689620758,1.0,0.29000000000000004,18.592474699020386
25,0.877454007077044,0.07710674405206944,0.020363453287815143,1.0,0.31500000000000006,3.7111515402793884
26,0.8733725223131147,0.08218641483469472,0.027710657885411133,1.0,0.30999999999999994,5.0140944719314575
